iter	Logloss
0	0.6509668945
1	0.6159834473
2	0.5840483887
3	0.5573586426
4	0.5307205566
5	0.5078027344
6	0.4888099121
7	0.4731292969
8	0.4605737305
9	0.450622168
10	0.4388126953
11	0.4294174805
12	0.4204461914
13	0.4121081055
14	0.405763501
15	0.4002324951
16	0.3931609131
17	0.388485498
18	0.3838671631
19	0.3791154785
20	0.374313623
21	0.3715337891
22	0.368363623
23	0.3656024902
24	0.3627785645
25	0.3607453857
26	0.3576541504
27	0.3552941406
28	0.3533904785
29	0.3518623535
30	0.3501959717
31	0.3482129395
32	0.3466927246
33	0.3452529297
34	0.3443823975
35	0.3432050293
36	0.3418459961
37	0.3404342773
38	0.3392506836
39	0.3381130859
40	0.3371746582
41	0.3364834961
42	0.3356436279
43	0.334842334
44	0.3341156006
45	0.3334368896
46	0.3328790283
47	0.3321883301
48	0.3314080566
49	0.3309881348
50	0.3305931396
51	0.3298418457
52	0.3292924072
53	0.3286543213
54	0.3280940186
55	0.3274396484
56	0.3267877441
57	0.3263107666
58	0.3257542725
59	0.3250423828
60	0.3246287109
61	0.324394873
62	0.3239564941
63	0.3235907227
64	0.3232684814
65	0.3227710205
66	0.3224912109
67	0.3220595459
68	0.3216541016
69	0.321346167
70	0.320982373
71	0.3205536377
72	0.3201515137
73	0.3199713867
74	0.3196983887
75	0.3195069336
76	0.3192145996
77	0.3187763672
78	0.3184480957
79	0.3182276367
80	0.3178819336
81	0.3175600098
82	0.3172335937
83	0.3168948242
84	0.3166831787
85	0.3164285645
86	0.3162408691
87	0.3159452637
88	0.3155941162
89	0.3153408691
90	0.3151792969
91	0.3149473633
92	0.314644458
93	0.3144362305
94	0.3141676025
95	0.3139656006
96	0.3135361084
97	0.3133200439
98	0.3130253418
99	0.3128251465
100	0.3125547852
101	0.3123077148
102	0.3120422363
103	0.3118682617
104	0.3116273926
105	0.3113334473
106	0.3111104492
107	0.310865918
108	0.3105876221
109	0.3104037354
110	0.3101873535
111	0.3100495605
112	0.3098055908
113	0.3094395508
114	0.3091849854
115	0.3089119141
116	0.3087057129
117	0.3085251221
118	0.3082140625
119	0.3078401123
120	0.3077402832
121	0.3076384766
122	0.3074291992
123	0.3070279785
124	0.3068136719
125	0.306632666
126	0.3062236572
127	0.3059294189
128	0.305719873
129	0.3054057129
130	0.3052477539
131	0.304985791
132	0.3047753906
133	0.3045725586
134	0.3044032715
135	0.3041030518
136	0.3038793457
137	0.3036514893
138	0.3034037109
139	0.3031040527
140	0.302935083
141	0.3028576172
142	0.3027368896
143	0.3024874268
144	0.3021710938
145	0.302069043
146	0.3018330078
147	0.3016657715
148	0.3015831055
149	0.3012564941
150	0.3010303223
151	0.3008682129
152	0.300720166
153	0.300593457
154	0.3004211914
155	0.3002858887
156	0.3000251465
157	0.2998582764
158	0.2997310791
159	0.2995490234
160	0.299355957
161	0.2992048828
162	0.2990493652
163	0.2988418457
164	0.2986254883
165	0.2984812744
166	0.2981483398
167	0.298030127
168	0.297930127
169	0.2977717773
170	0.2976447021
171	0.2975552246
172	0.2973677734
173	0.2971185303
174	0.296869873
175	0.2966509521
176	0.2964934082
177	0.2963506836
178	0.2961275146
179	0.2959986328
180	0.2959061523
181	0.2958079102
182	0.2955896484
183	0.2953448975
184	0.2951467041
185	0.295080249
186	0.2948300293
187	0.2946264648
188	0.2944645996
189	0.294192334
190	0.2940881836
191	0.2938936523
192	0.2937430664
193	0.2936166504
194	0.2933591064
195	0.2931706543
196	0.2929345703
197	0.2928020264
198	0.2925733154
199	0.2923730713
200	0.292211377
201	0.29205979
202	0.2918345703
203	0.2916922852
204	0.2915247559
205	0.2913543945
206	0.2911680664
207	0.2909825439
208	0.2908521484
209	0.2906366699
210	0.2904641113
211	0.2902866211
212	0.2900724121
213	0.2899226807
214	0.2897035156
215	0.2895383057
216	0.2893977051
217	0.2891997314
218	0.2890902832
219	0.2888666504
220	0.2887144531
221	0.2885127197
222	0.2882967773
223	0.2881125244
224	0.287959375
225	0.2878283936
226	0.2876799316
227	0.287468042
228	0.2872546387
229	0.2871031982
230	0.2869896973
231	0.2867810059
232	0.2866630859
233	0.2865290527
234	0.2863519775
235	0.2861841064
236	0.2859817871
237	0.2858
238	0.2856234375
239	0.2855137207
240	0.2854062744
241	0.2852773682
242	0.2851143555
243	0.2849536377
244	0.2847586914
245	0.2845702637
246	0.284357959
247	0.284219873
248	0.2841458984
249	0.2839994385
250	0.2837927979
251	0.2836077881
252	0.2834458496
253	0.2832192383
254	0.2830418213
255	0.2828496338
256	0.2826306396
257	0.2823132812
258	0.2820969727
259	0.2819835449
260	0.2817806885
261	0.2816706055
262	0.2814456055
263	0.281307959
264	0.2810922119
265	0.2808604248
266	0.2807019531
267	0.2805460449
268	0.2804223633
269	0.2802759277
270	0.2801700684
271	0.2800467285
272	0.279960791
273	0.2797768066
274	0.2796120605
275	0.2795347168
276	0.2793347656
277	0.2791854492
278	0.2789583496
279	0.2787542725
280	0.2785879639
281	0.2784116699
282	0.2782603271
283	0.278142749
284	0.2779910645
285	0.2778369629
286	0.2776307861
287	0.2774931641
288	0.2772608887
289	0.277087207
290	0.2769500488
291	0.2767817627
292	0.2765357666
293	0.2763950684
294	0.2762089844
295	0.2761233154
296	0.2760084473
297	0.2757903809
298	0.2755449219
299	0.2754550537
